Primary Type,Subtype
Region,AdministrativeDivision
Region,BodyOfWater
Region,Brand
Region,CityTown
Region,CompanyDivision
Region,CompanyShareholder
Region,Country
Region,Cuisine
Region,GeographicFeature
Region,GovernmentalJurisdiction
Region,HumanLanguage
Region,Island
Region,IslandGroup
Region,Kingdom
Region,Location
Region,MilitaryPost
Region,MountainRange
Region,Organization
Region,PoliticalDistrict
Region,Region
Region,USCounty
Region,USState
Sport,Location
Sport,Sport
Sport,TouristAttraction
TelevisionShow,MusicalArtist
TelevisionShow,MusicalGroup
TelevisionShow,MusicalGroupMember
TelevisionShow,Person
TelevisionShow,RecordProducer
TelevisionShow,TelevisionShow
TelevisionStation,AdministrativeDivision
TelevisionStation,AwardWinner
TelevisionStation,Broadcast
TelevisionStation,BroadcastArtist
TelevisionStation,CityTown
TelevisionStation,CompanyDivision
TelevisionStation,Composer
TelevisionStation,Film
TelevisionStation,GeographicFeature
TelevisionStation,HistoricPlace
TelevisionStation,Island
TelevisionStation,Location
TelevisionStation,MusicalArtist
TelevisionStation,MusicalGroup
TelevisionStation,Organization
TelevisionStation,Person
TelevisionStation,RadioStation
TelevisionStation,TelevisionShow
TelevisionStation,TVNetwork
TelevisionStation,TVProducer
